cost,gamma,degree,error
10.0,0.1,2,0.2910937
10.0,0.1,3,0.3151563
10.0,0.1,4,0.3485938
10.0,0.1,5,0.3526563
10.0,1.0,1,0.2523437
10.0,1.0,2,0.2853125
10.0,1.0,3,0.373125
10.0,1.0,4,0.374375
10.0,1.0,5,0.3667187
10.0,10.0,1,0.2529688
10.0,10.0,3,0.36875
10.0,10.0,4,0.374375
10.0,10.0,5,0.3667187
10.0,100.0,1,0.2564063
10.0,100.0,3,0.3692187
10.0,100.0,4,0.374375
10.0,100.0,5,0.3667187
10.0,1000.0,1,0.4745313
10.0,1000.0,3,0.3664062
10.0,1000.0,4,0.374375
10.0,1000.0,5,0.3667187
100.0,1e-06,1,0.310625
100.0,1e-06,2,0.505
100.0,1e-06,3,0.505
100.0,1e-06,4,0.505
100.0,1e-06,5,0.505
100.0,1e-05,1,0.2721875
100.0,1e-05,2,0.505
100.0,1e-05,3,0.505
100.0,1e-05,4,0.505
100.0,1e-05,5,0.505
100.0,0.0001,1,0.2534375
100.0,0.0001,2,0.493125
100.0,0.0001,3,0.505
100.0,0.0001,4,0.505
100.0,0.0001,5,0.505
100.0,0.001,1,0.2546875
100.0,0.001,2,0.36625
100.0,0.001,3,0.4765625
100.0,0.001,4,0.4909375
100.0,0.001,5,0.4957813
100.0,0.01,1,0.2504688
100.0,0.01,2,0.32125
100.0,0.01,3,0.2823438
100.0,0.01,4,0.311875
100.0,0.01,5,0.3675
100.0,0.1,1,0.2521875
100.0,0.1,2,0.28625
100.0,0.1,3,0.3421875
100.0,0.1,4,0.3726563
100.0,0.1,5,0.3671875
100.0,1.0,1,0.2523437
100.0,1.0,2,0.3404687
100.0,1.0,3,0.3714062
100.0,1.0,4,0.374375
100.0,1.0,5,0.3667187
100.0,10.0,1,0.2575
100.0,10.0,3,0.36875
100.0,10.0,4,0.374375
100.0,10.0,5,0.3667187
100.0,100.0,1,0.45375
100.0,100.0,3,0.3692187
100.0,100.0,4,0.374375
100.0,100.0,5,0.3667187
100.0,1000.0,1,0.4245312
100.0,1000.0,3,0.3664062
100.0,1000.0,4,0.374375
100.0,1000.0,5,0.3667187
1000.0,1e-06,1,0.2721875
1000.0,1e-06,2,0.505
1000.0,1e-06,3,0.505
1000.0,1e-06,4,0.505
1000.0,1e-06,5,0.505
1000.0,1e-05,1,0.2534375
1000.0,1e-05,2,0.5028125
1000.0,1e-05,3,0.505
1000.0,1e-05,4,0.505
1000.0,1e-05,5,0.505
1000.0,0.0001,1,0.2545312
1000.0,0.0001,2,0.470625
1000.0,0.0001,3,0.4979688
1000.0,0.0001,4,0.505
1000.0,0.0001,5,0.505
1000.0,0.001,1,0.2504688
1000.0,0.001,2,0.350625
1000.0,0.001,3,0.35875
1000.0,0.001,4,0.4829688
1000.0,0.001,5,0.4925
1000.0,0.01,1,0.2520312
1000.0,0.01,2,0.2910937
1000.0,0.01,3,0.291875
1000.0,0.01,4,0.2934375
1000.0,0.01,5,0.2985937
1000.0,0.1,1,0.2520312
1000.0,0.1,2,0.284375
1000.0,0.1,3,0.355625
1000.0,0.1,4,0.374375
1000.0,0.1,5,0.3667187
1000.0,1.0,1,0.2560938
1000.0,1.0,2,0.4759375
1000.0,1.0,3,0.3714062
1000.0,1.0,4,0.374375
1000.0,1.0,5,0.3667187
1000.0,10.0,1,0.4146875
1000.0,10.0,3,0.36875
1000.0,10.0,4,0.374375
1000.0,10.0,5,0.3667187
1000.0,100.0,1,0.3960938
1000.0,100.0,3,0.3692187
1000.0,100.0,4,0.374375
1000.0,100.0,5,0.3667187
1000.0,1000.0,1,0.4285937
1000.0,1000.0,3,0.3664062
1000.0,1000.0,4,0.374375
1000.0,1000.0,5,0.3667187
10000.0,1e-06,1,0.2535938
10000.0,1e-06,2,0.505
10000.0,1e-06,3,0.505
10000.0,1e-06,4,0.505
10000.0,1e-06,5,0.505
10000.0,1e-05,1,0.2545312
10000.0,1e-05,2,0.493125
10000.0,1e-05,3,0.505
10000.0,1e-05,4,0.505
